timestamp,views,likes,retweets,replies,hasImages,keywords,tweetUrl,text,translated_text,hasVideo
2026-08-19T23:47:43.000+08:00,3308,6,1,2,yes,"semiconductor","https://x.com/HyperTechInvest/status/2090103423500964022","Retail doesn’t invest in themes until they’ve already exploded  People still don’t realize that PLP will eventually become mainstream across much of the semiconductor market  Yet most remain oblivious to the shift that FOPLP will bring and the stocks positioned to benefit from it","Retail doesn’t invest in themes until they’ve already exploded  People still don’t realize that PLP will eventually become mainstream across much of the semiconductor market  Yet most remain oblivious to the shift that FOPLP will bring and the stocks positioned to benefit from it",no
2026-08-19T23:06:06.000+08:00,5120,7,3,3,yes,"advanced packaging; packaging; panel","https://x.com/HyperTechInvest/status/2090092951015960622","Panel-level advanced packaging is exploding  According to Yole’s 2026 report, the advanced packaging market is expected to post a 9.1% CAGR from 2025 to 2031  PLP is growing much faster  Yole expects PLP revenue to rise from $312 million in 2025 to $2.959 billion in 2031,","Panel-level advanced packaging is exploding  According to Yole’s 2026 report, the advanced packaging market is expected to post a 9.1% CAGR from 2025 to 2031  PLP is growing much faster  Yole expects PLP revenue to rise from $312 million in 2025 to $2.959 billion in 2031,",no
2026-08-19T19:57:21.000+08:00,26229,37,2,1,yes,"gpu","https://x.com/HyperTechInvest/status/2090045451492020671","$NBIS  to Raise $4.5B Through Convertible Notes  Prepayments and GPU-backed loans are important, but such an aggressive buildout requires more than that  Predictable and understandable. The market cap is very high at the moment, so it’s the perfect time for this  Crazy that","$NBIS  to Raise $4.5B Through Convertible Notes  Prepayments and GPU-backed loans are important, but such an aggressive buildout requires more than that  Predictable and understandable. The market cap is very high at the moment, so it’s the perfect time for this  Crazy that",no
2026-08-19T19:48:17.000+08:00,7210,51,3,2,yes,"amd; advanced packaging; packaging; cpu","https://x.com/HyperTechInvest/status/2090043171342606515","DigiTimes reports that  $AMD  is likely cooperating with  $GOOG  on CPU IP, programmable logic, interconnect technology, and/or advanced packaging capabilities  The reason is AMD’s experience integrating CPUs and accelerators in the same package  The disruption to  $AVGO  is limited","DigiTimes reports that  $AMD  is likely cooperating with  $GOOG  on CPU IP, programmable logic, interconnect technology, and/or advanced packaging capabilities  The reason is AMD’s experience integrating CPUs and accelerators in the same package  The disruption to  $AVGO  is limited",no
2026-08-19T10:52:24.000+08:00,21597,26,,50,no,"","https://x.com/HyperTechInvest/status/2089908309642051686","What’s your highest-conviction stock at the moment?  I want to take a look at what people are liking at these prices","What’s your highest-conviction stock at the moment?  I want to take a look at what people are liking at these prices",no
2026-08-19T08:04:45.000+08:00,19272,57,8,14,yes,"image","https://x.com/HyperTechInvest/status/2089866118798397760","OpenAI is falling behind Anthropic by so much  $6.7B in revenue vs. $11.6B  Anthropic is now almost doubling OpenAI’s sales  Wow  Would’ve been crazy to think this a couple of years ago","OpenAI is falling behind Anthropic by so much  $6.7B in revenue vs. $11.6B  Anthropic is now almost doubling OpenAI’s sales  Wow  Would’ve been crazy to think this a couple of years ago",no
2026-08-19T07:57:11.000+08:00,58813,441,23,31,yes,"hbm; memory","https://x.com/HyperTechInvest/status/2089864213787562074","Cathie Wood has no idea Groq and Cerebras don’t use HBM because they use SRAM, which is even more expensive memory ","Cathie Wood has no idea Groq and Cerebras don’t use HBM because they use SRAM, which is even more expensive memory ",no
2026-08-19T07:51:29.000+08:00,8992,90,13,4,yes,"hbm; semianalysis; advanced packaging; packaging","https://x.com/HyperTechInvest/status/2089862782649024555","$INTC  Advanced Packaging Plant in Malaysia Now Online, According to SemiAnalysis  A growing share of South Korean HBM shipments is now heading to Malaysia, while shipments to Taiwan have fallen sharply  Around $1.3 billion worth of HBM is now being exported to Malaysia, compared","$INTC  Advanced Packaging Plant in Malaysia Now Online, According to SemiAnalysis  A growing share of South Korean HBM shipments is now heading to Malaysia, while shipments to Taiwan have fallen sharply  Around $1.3 billion worth of HBM is now being exported to Malaysia, compared",no
2026-08-19T07:37:50.000+08:00,50782,189,2,14,no,"","https://x.com/HyperTechInvest/status/2089859346134102017","$927  $NBIS  price target by slapping a 10x multiple on 2027 exit ARR   Not even Anthropic is valued at 10x 2027 exit ARR  The model doesn’t even try to bridge depreciation, arguably one of the most important parts of valuing a neocloud  Just multiply by 10. It’s a nice number","$927  $NBIS  price target by slapping a 10x multiple on 2027 exit ARR   Not even Anthropic is valued at 10x 2027 exit ARR  The model doesn’t even try to bridge depreciation, arguably one of the most important parts of valuing a neocloud  Just multiply by 10. It’s a nice number",no
2026-08-18T19:41:27.000+08:00,53557,64,8,9,yes,"image","https://x.com/HyperTechInvest/status/2089679060880556522","Anthropic ARR:  > December: $9B > May: $47B > July: $65B  According to Reuters  Anthropic is projecting $190B to $200B in revenue by 2028","Anthropic ARR:  > December: $9B > May: $47B > July: $65B  According to Reuters  Anthropic is projecting $190B to $200B in revenue by 2028",no
