timestamp,likes,comments,hasImages,postUrl,text
,0,0,yes,https://www.linkedin.com/feed/update/urn:li:activity:7492522416234119168/,"WHY ATTEND THE Optica Industry Summit on Aerospace & Defense, 9 to 10 December 2026  A spool of ordinary optical fibre, unwinding behind a first person view drone. The fibre carries the control signals and the video. No radio link, so nothing to jam. Fibre tethered drones are now standard equipment on both sides in Ukraine, and NATO militaries are studying them closely.  Nobody's photonics roadmap predicted that. It came from an operational problem, solved with one of the cheapest optical components our industry makes. Photonics did not enter this fight because it was elegant. It entered because the electromagnetic spectrum became contested.  That is one direction of travel. Here is the other.  TTM Technologies has just reported its first billion-dollar quarter, with aerospace and defence at 37 percent of net sales and program backlog above $1.7 billion. In the same release it announced agreements to acquire Swiss Technology Corporation Group and ILFA GmbH in Germany, its entry into Europe.  Read those two facts together and you can see the shape of the next five years. American interconnect capacity is buying its way into Europe, at the same moment European NATO members are under pressure to build domestic defence electronics capacity of their own.  Sovereign capability is not a slogan. It is a question about who owns the factory.  Catherine Gridley runs TTM's aerospace and defence business and opened the company's new Ultra-HDI plant in Syracuse in June. She is a featured speaker at our summit in December, and she is the right person to ask what it actually takes to get a photonic component into a defence programme.  The programme is built in two halves. Day one is what is being deployed now: directed energy, ISR and optical payloads, autonomous navigation and positioning. Day two is whether the industry can supply it: secure optical and quantum communications, sovereign capability, dual-use transition, multi-domain architectures.  Alongside Cathie are Robert Afzal of Lockheed Martin and Gregory Quarles of Applied Energetics, Inc. on directed energy, Ben Allison of IPG Photonics, Bruno Desruelle and Benjamin Johnson of Exail, Andrew Shields of 東芝 Europe on quantum communications, and Michael Hochberg on how technology crosses from commercial into defence.  Exail hosts us at IXCAMPUS, which is its own kind of signal. Exail has agreed to be acquired by 泰雷茲 at a 3.9 billion euro enterprise value. European defence photonics is consolidating into national champions while American capacity buys in from outside.  We are reviewing registrations to keep the room weighted toward people making build and buy decisions rather than people selling into them.  9 to 10 December 2026, Saint-Germain-en-Laye, just outside Paris.  Which photonics ends up inside European defence programmes will be settled in the next few years, largely by people who already know each other. That is the real argument for being in the room In December. Registration now open."
,0,0,yes,https://www.linkedin.com/feed/update/urn:li:activity:7492470486065463296/,"JAPAN JUST BET 150 BILLION YEN ON A MATERIAL MOST PEOPLE CANNOT NAME. For years, indium phosphide was the material our community had to explain to everyone else. Now it is the material everyone else is explaining to us.  Look at Japan.  On 16 June, JX Advanced Metals Corporation (company video below) committed up to 120 billion yen over four years to expand InP substrate capacity. The largest investment the company has ever made in this product line. New capacity in Hitachinaka alongside the existing Isohara Works, targeting 7 to 10 times current output. Counting the three earlier expansions since July 2025, the total is around 150 billion yen.  Two smaller details tell you more.  JX said it is opening discussions with customers about price revisions. Anyone who has bought substrates knows what that means. This has been a thin margin business for a long time, and the supplier has just noticed it is holding the constraint.  JX also now calls InP a future revenue pillar alongside its semiconductor sputtering targets. I have watched many companies say photonics is strategic. Committing 150 billion yen is a different kind of statement.  Why now is no mystery. Silicon guides light, modulates it, splits it. It does not generate it. Every 800G and 1.6T module, and every co-packaged optics architecture behind them, still needs an InP laser as its source. Lumentum's CEO Michael Hurlston said on 6 August that the InP supply and demand gap now exceeds DRAM and NAND. Orders that used to arrive in the hundreds from telecom customers now arrive in the hundreds of millions of devices.  What I find most interesting is that three regions are answering the same question in three different ways.  The United States is answering with capital. NVIDIA put 2 billion dollars each into Coherent Corp. and Lumentum in March, with long-term supply agreements attached. Coherent broke ground in Texas in June on a 6-inch InP fab expansion, backed by a proposed 50 million dollar US CHIPS Act grant.  China is answering with integration. Yunnan Chihong Zinc&Germanium Co., Ltd. scaling 6 inch substrates, San'An Optoelectronics Co., Ltd. running substrate to chip in a single house. Remember, China also refines roughly 70 percent of the world's indium and has tightened export controls since 2025.  Japan is answering with depth. JX is not moving downstream into lasers or modules. It is making itself the layer nobody can design around.  None of this rescues 2027. Indium comes out of zinc refining as a by-product, so the feedstock does not respond to demand signals. Large diameter InP crystal growth takes years of patient yield work. Analysts expect the imbalance to run past 2027, and JX's new capacity arrives late in the decade.  So what do we conclude? The bottleneck in AI infrastructure right now is not a transistor problem. It is a crystal growth problem. Photonics is no longer the interesting adjacent field. It is the critical path.  Sources below"
,0,0,yes,https://www.linkedin.com/feed/update/urn:li:activity:7491924969757732865/,"THE DEMCON 2026 PHOTONICS GRAND TOUR & THE BIG OPPORTUNITIES Demcon is one of Optica's largest engineering corporate members, and it has recently set up a dedicated photonics division. I spent a day there with the managing director for Demcon photonics, Thijs Kniknie, and it was quite an experience.  We discussed a lot in this interview. From their existing collaborations in space and in-house manufacturing to the catalytic role they are playing in several regions of the world, including  #Enschede.  One highlight for me was a system built under an EU Horizon project for analysing microfluidic samples, designed to detect pathogens in blood and other fluids. Look inside the box and you see how much has to work together. The sample sits on a microfluidic chip that carries a passive photonic element. An active element at the back of the machine aligns to that chip with six degrees of freedom, reads it out using Raman spectroscopy, and processes the data on board before the operator swaps in the next chip. Photonics, mechatronics, microfluidics and medical compliance, all in one enclosure, with DEMCON having developed the complete electronics and mechanics.   Then Thijs Kniknie raised something bigger. DEMCON is working on laser writing technologies that can write waveguides in situ and remove the need for active alignment. Everyone in this field understands that active alignment will not carry us to the volumes photonics needs. Solving that is a scaling problem, not a lab problem. So here is the open call. DEMCON wants to talk to two kinds of companies: those with a laser writing process proven at lab scale that needs to become real equipment, and those with the technology and a product to sell who need the machine to make it.  If that is you, contact Thijs directly, mentioning this Optica video interview. Who will step forward?"
,0,0,yes,https://www.linkedin.com/feed/update/urn:li:activity:7491594609903493120/,"WHEN THE DRONE TETHER IS MADE OF GLASS  I listened to a 英國廣播公司 Radio 4 documentary this week called Britain's Robot Army. One passing detail stopped me, and I think it belongs to our industry rather than to the defence press.  The drones reshaping the front line in Ukraine are increasingly guided by a bare optical fibre paying out from a spool bolted to the airframe. No radio link, so nothing to jam. Nobody said who makes that fibre. So we went and found out.  Three things worth your attention.  It is not a bespoke defence product. It is ITU-T G.657.A2 bend-insensitive single-mode fibre, the same category developed for tight-radius routing in fibre-to-the-home. 1310 and 1550 nm, 250 micron coating, dynamic bend radius down to about 7.5 mm. The property that lets you turn a corner in an apartment block is the property that lets a drone unspool 30 km at speed without macrobend loss.  Fibre-guided drones and AI data centres are now bidding for the same product. Chinese cable went from 16 yuan per kilometre in January 2025 to 40 yuan in January 2026, according to Vedomosti via the Kyiv Post. Russia and Ukraine together consume an estimated 50 to 60 million fibre-kilometres a year. The upstream constraint appears to be preform capacity, which nobody expands quickly. A commodity telecom fibre has acquired a second, price-inelastic customer base, and our industry did not plan for that.  The specialist value has moved from the glass to the spool. Nobody draws fibre for drones. What matters is winding geometry, packing process, tension control and payout mechanics, because failures in flight are mechanical rather than optical. The firms doing that work well are small, European and American, and most of them are not yet part of our community.  The full analysis is in the PDF below, with every claim sourced and the weaker numbers flagged as weak.   Now the question I actually want to ask the Photonics Community on LinkedIn. Is this a subject for discussion at the Optica Industry Summit on Aerospace and Defense, hosted by Exail at IXCAMPUS near Paris on 9 and 10 December?  If you would find that session useful, or you work on any part of this chain, from preform to spool to detection, say so in the comments, and we will shape the agenda accordingly. Registration is now open.  https://lnkd.in/e3Mj_ap8"
,0,0,yes,https://www.linkedin.com/feed/update/urn:li:activity:7490971791293771776/,"LIVE FROM MALAGA: THE GPEF 2026 AGENDA UPDATE I am standing outside the FYCMA in Málaga. In a few weeks, this building hosts the third Optica Global Photonics Economic Forum, and the agenda is now live. Four sessions are definitely worth flagging.  AI infrastructure, on day one. In late July 2026, Lumentum CEO Michael Hurlston said in public what many of you have been saying privately: the next shortage in AI infrastructure is not switch silicon, it is indium phosphide. Lumentum runs five indium phosphide fabs and is still shipping around thirty per cent below what customers are asking for. Michael gives a keynote on day one and joins the CEO panel.  On the AI infrastructure panel, M. Ashkan Seyedi. At NVIDIA, he led the team that shipped their first co-packaged optics switch. He has just moved to 艾迈斯欧司朗 to run their optical interconnect business. The man who spent years defining what the buyer needed now sits on the side that has to supply it. Alongside him: Ciena, 希捷科技, SMART Photonics, LioniX International, TTM Technologies and Resolight.ai, with Gregg Bartlett of GlobalFoundries in the chair. Forty-five minutes, and no reason to be gentle with any of them.  Supply chains, day two. China accounts for roughly seventy per cent of the world's refined indium, and Beijing put indium-related items under export control last year. That is why day two carries two sessions on this, not one. Michael Lebby moderates the supply chain resilience discussion. Marisa Edmund of Edmund Optics drives the session on geopolitics, supply chains and global representation. We learn what resilience actually costs, and where the real single points of failure sit.  Quantum. At the end of July, SEALSQ began commercial deployment of thin-film lithium tantalate photonic chips from Miraex, a Swiss company and an active Optica corporate member, for microwave to optical conversion. That is the quantum interconnect problem moving out of the lab and onto a price list. Chuck Mattera of Avalanche Thinking Inc. moderates, with PsiQuantum, ORCA Computing, Atom Computing, Quside and Thorlabs. Manufacturing economics. The oldest question in our industry, put directly on the table: can photonics reach semiconductor manufacturing economics? John T.C. Lee of MKS Inc. moderates. TRUMPF, 應用材料公司, PHIX Photonics Assembly, ficonTEC and Lightwave Logic, Inc. will answer. Influence the conversation by being in the room on the 24th and 25th September, here at the FYCMA, in the same week as ECOC 2026 | 52nd European Conference on Optical Communication and in the same building.  Registration is open now. Early bird rates are valid until 4 September. The full agenda is on the Optica website. We want your input on these questions, and you will get access to the best minds in the business. See you here in September. Registration Link: https://lnkd.in/eiyZTQEV"
,0,0,yes,,"EXPLORING PUBLIC CPO FOUNDRY ROADMAPS  Only four foundries have put a real co-packaged optics roadmap in public: TSMC, Intel, Samsung and GlobalFoundries. Tom's Hardware has broken all four down, and it is worth your weekend or holiday catch-up having a look.  The useful part is that these are not four versions of one plan. They are four business models, and that decides where the rest of us can sell.  台積電 is building a closed platform tied to its own packaging, moving the optical engine from the board, to the substrate beside a switch ASIC, to the interposer inside the package at 12.8 Tbps.   英特爾 is narrower on purpose: an optical chiplet that attaches to compute over PCIe, aimed at CPUs and accelerators, explicitly not at switches.   三星電子 has the longest ladder on paper, ending with lasers integrated alongside compute and memory from 2030.   GlobalFoundries is the outlier and the one that leaves room for everyone else, selling bespoke, standards-compliant optical engines that customers package themselves.  Two things I would take from all this.  Energy is becoming the unit of account. Samsung's public numbers run from roughly 10 picojoules per bit today, to 5, to 2 at interposer integration. Component roadmaps should be written against that scale.  The laser stays outside the package longest. On the most aggressive roadmap published, full integration does not arrive until 2030. Until then lasers, fibre array units, alignment and test remain open, and that is precisely where European suppliers are strong.  Full piece below. Credit to Anton Shilov for the reporting. Head over for full details. Link https://lnkd.in/g4wK8h6F"
,0,0,yes,,"Today, the German Government laid the foundation for the world's first commercial laser fusion power plant, built in Germany.   The German Bundesministerium für Forschung, Technologie und Raumfahrt has announced funding for the Laser Fusion Hub — anchored by a new Fusion R&D campus around European XFEL in Hamburg/Schleswig-Holstein, with a second fusion industrialization site in Biblis, Hesse.   Marvel Fusion and Focused Energy are co-founders of the hub, building it together with partners around the Fusion R&D campus, including EuropeanXFEL, DESY, the University of Hamburg, Christian Albrecht University of Kiel, the University of Rostock, and a growing ecosystem of industrial and scientific partners.   This is bigger than one company or one lab. It's an industry-led hub, open to the full ecosystem, drawing on decades of laser expertise from DESY and the unmatched diagnostic capabilities of European XFEL. The first five research projects — spanning ignition physics, target design, optics durability, laser & plasma diagnostics, and target metrology — have been invited to the second stage of the proposal process, each targeting a concrete milestone on the path to a fusion power plant.   Fusion energy — unlimited, safe, baseload power — is no longer a distant ambition. With this funding decision, Germany is positioning itself to lead.  https://lnkd.in/dtApc3u2   #MarvelFusion  #LaserFusion  #BMFTR  CC: Moritz, Heike, Hartmut"
,0,0,yes,,"PROMISED UPDATE: Japanese chip plants restart after Kumamoto earthquake Semiconductor facilities in the Kumamoto area began restarting within days of Tuesday's magnitude 7.1 earthquake. Renesas Electronics resumed production at its Nishiki plant on Wednesday night after confirming clean room integrity and expects its Kawashiri plant in Kumamoto city, in operation since 1970, to restart on 5 August despite wall cracks and water leaks. Tokyo Electron resumed partial operations at Koshi and Ozu from Thursday with full-scale production possible from Monday, and president Toshiki Kawai said the earnings impact should be minor. Mitsubishi Electric restarted some power chip production at Kikuchi and Koshi on Thursday afternoon. 台積電 and 索尼 had not set timelines for their Kikuyo plants as of Thursday evening, with TSMC citing equipment adjustment work. Toshiya Suzuki of Omdia [OPTICA CORPORATE MEMBER] attributed the speed of recovery to seismic isolation in fab construction and to business continuity planning.  What this means: The recovery time is the real story. A decade ago, the same region took roughly three months to restore chip production; this time, most plants are back up and running within a week, and Sony expects pre-quake output by mid-August. Geographic concentration risk in Kumamoto has not gone away, but the cost of that risk has fallen sharply, which weakens one argument European policymakers have used for onshoring. Suppliers of contamination-sensitive optical and metrology equipment should note the specific failure mode reported by TSMC suppliers: impurity accumulation in process equipment that requires cleaning or replacement, rather than structural damage.  One more thing: Japan has joined Horizon Europe."
,0,0,yes,,"AT LAST! - PHOTONICS MOVES UP IN THE UNITED KINGDOM. The UK just quietly redefined what counts as a semiconductor company. Photonics is now inside the line.  The UK Dept for Science, Industry and Tech (DSIT) has published the 2026 UK Semiconductor Sectoral Analysis. Mainstream media will headline these numbers: 703 companies, £10.6bn in revenue, £7.5bn GVA, 16,350 direct jobs. But while researching for the panels at 2026 Optica's GPEF in Malaga, I discovered this interesting detail in endnote ix.  ""Companies designing, developing or manufacturing photonic integrated circuits (PICs) were classified as dedicated."" In the 2024 baseline, a PIC company sat in the diversified bucket. A company that touches semiconductors.   In 2026 it is a semiconductor company BY DEFINITION. That matters, because the dedicated cohort is what DSIT measures, funds and calibrates policy against.  The rest of the report is consistent with that shift:  Photonic IC design and fabrication took 11% of new UK semiconductor research funding in 2024 and 2025. 4th largest category.  Integrated photonics is named as a UK strength, with three geographies attached: Southampton, Glasgow, Northern Ireland.  The top UK assignee of granted US semiconductor patents in 2024 and 2025 is ROCKLEY PHOTONICS LIMITED. That's above Arm.  And the argument the report makes for why: photonic interconnect is part of the AI compute stack ""where the UK can compete on capability rather than capital intensity."" That is an honest statement about what a country without leading-edge fab capital can realistically hold.  Now the part that should worry people.  The report's own photonics recommendation is a dedicated photonics pilot line and scale-up facility, to bridge UK research to production. It sits in the horizon scanning chapter. No budget. No timeline. No named owner.  Meanwhile, on 30 July, the European Commission opened bidding on up to seven AI Gigafactories, more than €30bn, closing 12 November, awards early 2027, construction from 2027.  To be clear: the UK report never mentions the EU initiative, and the EU initiative never mentions photonics. There is no documented link, and I am not claiming one.  But the industrial logic is hard to miss. The UK has identified photonic ICs for data communications as its near-term opportunity in the second wave of AI-driven demand. Europe has just committed to building the facilities that generate that demand. UK entities cannot join an AI Gigafactory consortium, since the UK is not a EuroHPC Participating State. They can supply into one.  Supplying requires manufacturing capability that exists before the procurement, not after it.  The UK has correctly identified where it can win. The infrastructure to act on it is still a bullet point.  Full read-through in the attached Pozo Strategic Analysis.  SOURCES: https://lnkd.in/eMkgQvhf  EU call: https://lnkd.in/eTvrCG_J"
,0,0,yes,,"CALLING Optica CORPORATE MEMBERS: THE NEXT-GENERATION RGB LIGHT ENGINE is ready for testing. Details below. I spent a day in  #Enschede, The Netherlands with Tim Tiek, CEO of Brilliance RGB, witnessing a small team turn silicon nitride photonic integrated circuits into a full RGB light engine, small enough for AR glasses and thin enough for a car dashboard. PICs have lived mainly in datacom and telecom for two decades. Brilliance RGB, founded about three years ago, is pushing the same platform into a market with far higher volume: visible light for AR/VR eyewear, automotive displays, and industrial sensing. The chip integrates lasers, waveguides, and sensors onto a single wafer-scale silicon nitride platform, replacing the lenses, prisms, and discrete lasers that make traditional RGB projectors (including IMAX) bulky and expensive.  Why silicon nitride specifically? It couples laser light into waveguides with very high efficiency, which matters most for eyewear: a glasses form factor with a battery that has to last a full day of projection lives or dies on power efficiency. Tim's case for laser displays over micro-LED comes down to full colour, wide field of view, and outdoor brightness, though he's clear micro-LED still wins for simple monochrome use cases like sport glasses.  The automotive angle is just as concrete. Today's heads-up displays run on LCOS panels behind the steering wheel, bulky and lossy by design. Brilliance's approach could shrink that by a factor of ten while cutting cooling overhead, and the same chip architecture could support ground projection as self-driving cars start signalling turns and warnings to pedestrians. Tim's team is already in conversations with Tier 1 suppliers and OEMs on that.  Credibility is building fast for a three-year-old company. Google's Bernard Kress, speaking at the recent Optica summit at 康寧公司, has publicly called PICs a promising technology for next-gen AR/VR goggles, and Brilliance RGB is active in the growing laser-display ecosystem, alongside more than 40 companies now working on laser projection as a category. Brilliance has working prototypes, packaged chips, and active design studies with customers. The next test is scale: moving from hundreds of units today to the volumes consumer electronics and automotive demand, using local foundry and packaging partners in Enschede now, with eight-inch foundry partners lined up for high-volume production.  If you're an Optica corporate member and want to test Brilliance's RGB light engine yourself, reach out to Tim Tiek directly by mentioning this LinkedIn post, or contact me at Optica for an introduction."
